Disease Name,Symptoms,Medicine Name,Dosage Instructions
Arthritis,"Chills, Sweating, Muscle pain",Loratadine,1 tablet every 12 hours
Typhoid,"Persistent cough, Weight loss, Night sweats",Metformin,Inject once daily
Mumps,"Nausea, Vomiting, Diarrhea",Ibuprofen,1 capsule every morning with food
Pneumonia,"Skin rash, High fever, Bleeding gums",Amoxicillin,Inject once daily
Chickenpox,"Shortness of breath, Chest pain",Paracetamol,Inject once daily
Chickenpox,"Facial pain, Runny nose, Headache",Prednisone,Take with water after meals
Chickenpox,"Cough, Mucus production",Doxycycline,Take with water after meals
Hepatitis B,"Nausea, Sensitivity to light",Methotrexate,Take 1 tablet every 6 hours
Arthritis,"Red spots on skin, Fever",Hydroxychloroquine,1 tablet every 12 hours
Hepatitis B,"Persistent cough, Weight loss, Night sweats",Metformin,1 capsule every morning with food
Measles,"Fever, Cough, Fatigue",Doxycycline,Use inhaler as needed
Hypertension,"Skin rash, Fever",Omeprazole,1 tablet every 12 hours
Hepatitis C,"Jaundice, Dark urine, Fatigue",Cetirizine,Use inhaler as needed
Chickenpox,"Wheezing, Shortness of breath",Azithromycin,1 capsule every morning with food
Sinusitis,"Skin rash, High fever, Bleeding gums",Artemether,Use inhaler as needed
Pneumonia,"Fever, Cough, Fatigue",Azithromycin,Apply cream twice a day
COVID-19,"Chills, Sweating, Muscle pain",Rifampin,1 tablet every 12 hours
Chickenpox,"Skin rash, High fever, Bleeding gums",Artemether,Take 2 tablets daily after meals
COVID-19,"Nausea, Sensitivity to light",Cetirizine,Apply cream twice a day
Hepatitis B,"Wheezing, Shortness of breath",Amoxicillin,Take 5ml syrup before bedtime
Chickenpox,"Facial pain, Runny nose, Headache",Losartan,Apply cream twice a day
Measles,"Chills, Sweating, Muscle pain",Loratadine,Take before sleep
Migraine,"Nausea, Vomiting, Diarrhea",Methotrexate,Take 5ml syrup before bedtime
Migraine,"Fever, Loss of taste/smell",Omeprazole,Take before sleep
Diabetes,"Chills, Sweating, Muscle pain",Losartan,Inject once daily
Sinusitis,"Red spots on skin, Fever",Ventolin,1 capsule every morning with food
Measles,"Joint pain, Swelling",Omeprazole,Use inhaler as needed
Measles,"Joint pain, Swelling",Hydroxychloroquine,Take with water after meals
Tuberculosis,"Headache, Dizziness, Blurred vision",Hydroxychloroquine,Take 5ml syrup before bedtime
Hypertension,"Skin rash, Fever",Zinc Sulfate,1 capsule every morning with food
Pneumonia,"Nausea, Sensitivity to light",Zinc Sulfate,Apply cream twice a day
COVID-19,"Chills, Sweating, Muscle pain",Metformin,Apply cream twice a day
Influenza,"Chills, Sweating, Muscle pain",Methotrexate,1 tablet every 12 hours
Typhoid,"Fever, Loss of taste/smell",Azithromycin,Use inhaler as needed
Measles,"Fever, Loss of taste/smell",Hydroxychloroquine,Take 5ml syrup before bedtime
Food Poisoning,"Nausea, Sensitivity to light",Paracetamol,Take 1 tablet every 6 hours
Food Poisoning,"Skin rash, High fever, Bleeding gums",Rifampin,Apply cream twice a day
Tuberculosis,"Frequent urination, Increased thirst",Ibuprofen,Take before sleep
Food Poisoning,"Swollen salivary glands, Fever",Vitamin C,Take before sleep
Dengue,"Skin rash, Fever",Vitamin C,1 capsule every morning with food
Measles,"Nausea, Sensitivity to light",Ventolin,Take 5ml syrup before bedtime
Mumps,"Shortness of breath, Chest pain",Metformin,Inject once daily
Hypertension,"Chills, Sweating, Muscle pain",Hydroxychloroquine,1 capsule every morning with food
Influenza,"Fever, Cough, Fatigue",Cetirizine,Take with water after meals
Bronchitis,"Abdominal pain, High fever, Loss of appetite",Artemether,1 tablet every 12 hours
Hepatitis C,"Nausea, Sensitivity to light",Vitamin C,Use inhaler as needed
Pneumonia,"Nausea, Vomiting, Diarrhea",Loratadine,Take 2 tablets daily after meals
Typhoid,"Shortness of breath, Chest pain",Losartan,Apply cream twice a day
Influenza,"Swollen salivary glands, Fever",Losartan,Take 2 tablets daily after meals
Sinusitis,"Headache, Dizziness, Blurred vision",Omeprazole,Take 5ml syrup before bedtime
Malaria,"Shortness of breath, Chest pain",Ibuprofen,Apply cream twice a day
Hepatitis C,"Skin rash, Fever",Isoniazid,Apply cream twice a day
Arthritis,"Nausea, Vomiting, Diarrhea",Vitamin C,Use inhaler as needed
Asthma,"Shortness of breath, Chest pain",Zinc Sulfate,Apply cream twice a day
Chickenpox,"Facial pain, Runny nose, Headache",Omeprazole,1 tablet every 12 hours
Asthma,"Facial pain, Runny nose, Headache",Artemether,Inject once daily
Hepatitis B,"Swollen salivary glands, Fever",Aspirin,Inject once daily
Migraine,"Jaundice, Dark urine, Fatigue",Vitamin C,Take 1 tablet every 6 hours
Typhoid,"Headache, Dizziness, Blurred vision",Aspirin,Take 5ml syrup before bedtime
Influenza,"Sneezing, Sore throat",Isoniazid,Apply cream twice a day
Malaria,"Headache, Dizziness, Blurred vision",Paracetamol,Take 5ml syrup before bedtime
Migraine,"Nausea, Sensitivity to light",Rifampin,1 capsule every morning with food
Dengue,"Skin rash, High fever, Bleeding gums",Vitamin C,1 tablet every 12 hours
Food Poisoning,"Chills, Sweating, Muscle pain",Vitamin C,1 tablet every 12 hours
Dengue,"Joint pain, Swelling",Chloroquine,Take 1 tablet every 6 hours
Influenza,"Wheezing, Shortness of breath",Metformin,Apply cream twice a day
COVID-19,"Frequent urination, Increased thirst",Losartan,Use inhaler as needed
Pneumonia,"Headache, Dizziness, Blurred vision",Amoxicillin,Take 1 tablet every 6 hours
Measles,"Abdominal pain, High fever, Loss of appetite",Loratadine,Inject once daily
Sinusitis,"Nausea, Sensitivity to light",Aspirin,Apply cream twice a day
Dengue,"Fever, Loss of taste/smell",Artemether,Apply cream twice a day
Dengue,"Nausea, Vomiting, Diarrhea",Hydroxychloroquine,Apply cream twice a day
Migraine,"Sneezing, Sore throat",Ventolin,Apply cream twice a day
Mumps,"Frequent urination, Increased thirst",Zinc Sulfate,1 capsule every morning with food
Hypertension,"Frequent urination, Increased thirst",Vitamin C,Apply cream twice a day
Typhoid,"Fever, Loss of taste/smell",Paracetamol,Take 2 tablets daily after meals
Food Poisoning,"Shortness of breath, Chest pain",Prednisone,Inject once daily
Tuberculosis,"Shortness of breath, Chest pain",Isoniazid,1 capsule every morning with food
Chickenpox,"Chills, Sweating, Muscle pain",Hydroxychloroquine,1 tablet every 12 hours
Arthritis,"Facial pain, Runny nose, Headache",Zinc Sulfate,1 capsule every morning with food
Influenza,"Fever, Cough, Fatigue",Loratadine,Take 1 tablet every 6 hours
Migraine,"Red spots on skin, Fever",Omeprazole,Take with water after meals
Sinusitis,"Wheezing, Shortness of breath",Isoniazid,Apply cream twice a day
Food Poisoning,"Fever, Cough, Fatigue",Omeprazole,1 capsule every morning with food
Mumps,"Nausea, Vomiting, Diarrhea",Metformin,Take before sleep
Hepatitis B,"Frequent urination, Increased thirst",Omeprazole,Take 5ml syrup before bedtime
Influenza,"Persistent cough, Weight loss, Night sweats",Azithromycin,Take with water after meals
Diabetes,"Skin rash, High fever, Bleeding gums",Doxycycline,Take before sleep
Pneumonia,"Sneezing, Sore throat",Methotrexate,Take 5ml syrup before bedtime
Typhoid,"Joint pain, Swelling",Ventolin,Take 5ml syrup before bedtime
Influenza,"Sneezing, Sore throat",Isoniazid,Take 5ml syrup before bedtime
Migraine,"Persistent cough, Weight loss, Night sweats",Azithromycin,1 capsule every morning with food
Tuberculosis,"Wheezing, Shortness of breath",Losartan,Take 5ml syrup before bedtime
Tuberculosis,"Nausea, Sensitivity to light",Prednisone,Take 1 tablet every 6 hours
Migraine,"Skin rash, Fever",Methotrexate,1 capsule every morning with food
Food Poisoning,"Swollen salivary glands, Fever",Rifampin,1 capsule every morning with food
Mumps,"Cough, Mucus production",Aspirin,Take with water after meals
Measles,"Headache, Dizziness, Blurred vision",Vitamin C,1 tablet every 12 hours
Common Cold,"Joint pain, Swelling",Hydroxychloroquine,Take before sleep
Measles,"Red spots on skin, Fever",Zinc Sulfate,Take 5ml syrup before bedtime
Mumps,"Sneezing, Sore throat",Prednisone,Take 5ml syrup before bedtime
Influenza,"Abdominal pain, High fever, Loss of appetite",Chloroquine,Take before sleep
Dengue,"Jaundice, Dark urine, Fatigue",Isoniazid,Take 2 tablets daily after meals
Mumps,"Skin rash, High fever, Bleeding gums",Doxycycline,Take with water after meals
Measles,"Skin rash, High fever, Bleeding gums",Azithromycin,Take before sleep
Dengue,"Chills, Sweating, Muscle pain",Rifampin,Take before sleep
Migraine,"Shortness of breath, Chest pain",Aspirin,Take 5ml syrup before bedtime
Hepatitis B,"Red spots on skin, Fever",Paracetamol,Use inhaler as needed
Bronchitis,"Headache, Dizziness, Blurred vision",Vitamin C,Take with water after meals
Hepatitis C,"Nausea, Sensitivity to light",Azithromycin,1 capsule every morning with food
Hepatitis C,"Swollen salivary glands, Fever",Cetirizine,Take 5ml syrup before bedtime
Malaria,"Abdominal pain, High fever, Loss of appetite",Aspirin,1 capsule every morning with food
Dengue,"Persistent cough, Weight loss, Night sweats",Omeprazole,1 tablet every 12 hours
Hypertension,"Joint pain, Swelling",Loratadine,1 capsule every morning with food
Influenza,"Wheezing, Shortness of breath",Isoniazid,Take 5ml syrup before bedtime
Tuberculosis,"Nausea, Vomiting, Diarrhea",Hydroxychloroquine,Take before sleep
Pneumonia,"Fever, Cough, Fatigue",Metformin,Take 1 tablet every 6 hours
Common Cold,"Swollen salivary glands, Fever",Rifampin,Take with water after meals
Dengue,"Skin rash, High fever, Bleeding gums",Losartan,Apply cream twice a day
Bronchitis,"Wheezing, Shortness of breath",Chloroquine,Take with water after meals
Migraine,"Abdominal pain, High fever, Loss of appetite",Methotrexate,Apply cream twice a day
Chickenpox,"Wheezing, Shortness of breath",Aspirin,Apply cream twice a day
Asthma,"Sneezing, Sore throat",Vitamin C,Take 2 tablets daily after meals
Typhoid,"Chills, Sweating, Muscle pain",Aspirin,Take with water after meals
Measles,"Nausea, Sensitivity to light",Cetirizine,Apply cream twice a day
Pneumonia,"Swollen salivary glands, Fever",Losartan,Take with water after meals
Measles,"Sneezing, Sore throat",Losartan,Take 5ml syrup before bedtime
COVID-19,"Headache, Dizziness, Blurred vision",Cetirizine,Take with water after meals
Tuberculosis,"Skin rash, Fever",Hydroxychloroquine,Take before sleep
Pneumonia,"Chills, Sweating, Muscle pain",Artemether,Use inhaler as needed
Asthma,"Fever, Cough, Fatigue",Metformin,Take 2 tablets daily after meals
Bronchitis,"Fever, Loss of taste/smell",Ventolin,Apply cream twice a day
Migraine,"Skin rash, High fever, Bleeding gums",Prednisone,Use inhaler as needed
Malaria,"Skin rash, Fever",Aspirin,1 capsule every morning with food
Bronchitis,"Cough, Mucus production",Artemether,Inject once daily
Asthma,"Cough, Mucus production",Paracetamol,1 capsule every morning with food
Common Cold,"Wheezing, Shortness of breath",Aspirin,Take 1 tablet every 6 hours
Common Cold,"Nausea, Vomiting, Diarrhea",Loratadine,Take 5ml syrup before bedtime
Common Cold,"Swollen salivary glands, Fever",Zinc Sulfate,Inject once daily
Malaria,"Chills, Sweating, Muscle pain",Metformin,Take with water after meals
Asthma,"Sneezing, Sore throat",Ventolin,Inject once daily
Pneumonia,"Swollen salivary glands, Fever",Chloroquine,Take with water after meals
Pneumonia,"Cough, Mucus production",Chloroquine,1 capsule every morning with food
Pneumonia,"Chills, Sweating, Muscle pain",Vitamin C,Apply cream twice a day
Malaria,"Abdominal pain, High fever, Loss of appetite",Doxycycline,Take 2 tablets daily after meals
Food Poisoning,"Wheezing, Shortness of breath",Cetirizine,Take 5ml syrup before bedtime
Bronchitis,"Fever, Cough, Fatigue",Azithromycin,Take with water after meals
COVID-19,"Skin rash, High fever, Bleeding gums",Vitamin C,Take with water after meals
Common Cold,"Nausea, Sensitivity to light",Methotrexate,Take before sleep
Chickenpox,"Red spots on skin, Fever",Prednisone,Take 2 tablets daily after meals
Measles,"Shortness of breath, Chest pain",Omeprazole,Use inhaler as needed
Tuberculosis,"Nausea, Vomiting, Diarrhea",Ibuprofen,Take 1 tablet every 6 hours
Tuberculosis,"Swollen salivary glands, Fever",Losartan,Take 2 tablets daily after meals
Common Cold,"Nausea, Sensitivity to light",Azithromycin,1 tablet every 12 hours
Measles,"Joint pain, Swelling",Aspirin,Take with water after meals
Bronchitis,"Fever, Cough, Fatigue",Metformin,Inject once daily
COVID-19,"Nausea, Sensitivity to light",Aspirin,Inject once daily
Bronchitis,"Jaundice, Dark urine, Fatigue",Amoxicillin,Inject once daily
Common Cold,"Swollen salivary glands, Fever",Vitamin C,1 tablet every 12 hours
Hypertension,"Skin rash, High fever, Bleeding gums",Aspirin,Take 5ml syrup before bedtime
Typhoid,"Nausea, Vomiting, Diarrhea",Metformin,Inject once daily
Malaria,"Red spots on skin, Fever",Chloroquine,Apply cream twice a day
Food Poisoning,"Facial pain, Runny nose, Headache",Amoxicillin,Use inhaler as needed
Arthritis,"Wheezing, Shortness of breath",Methotrexate,Take before sleep
Measles,"Nausea, Vomiting, Diarrhea",Cetirizine,1 tablet every 12 hours
Dengue,"Sneezing, Sore throat",Azithromycin,Use inhaler as needed
Sinusitis,"Skin rash, High fever, Bleeding gums",Methotrexate,Take before sleep
COVID-19,"Red spots on skin, Fever",Chloroquine,Take with water after meals
COVID-19,"Nausea, Vomiting, Diarrhea",Prednisone,Inject once daily
Hepatitis C,"Shortness of breath, Chest pain",Cetirizine,Apply cream twice a day
Hepatitis B,"Jaundice, Dark urine, Fatigue",Vitamin C,Take with water after meals
Influenza,"Sneezing, Sore throat",Azithromycin,Take 2 tablets daily after meals
Influenza,"Skin rash, Fever",Zinc Sulfate,Apply cream twice a day
Arthritis,"Nausea, Sensitivity to light",Rifampin,Take 1 tablet every 6 hours
Diabetes,"Skin rash, Fever",Losartan,Take with water after meals
Mumps,"Wheezing, Shortness of breath",Methotrexate,Take 2 tablets daily after meals
Bronchitis,"Nausea, Sensitivity to light",Paracetamol,Take 1 tablet every 6 hours
Common Cold,"Nausea, Sensitivity to light",Doxycycline,Take 1 tablet every 6 hours
Hepatitis C,"Nausea, Vomiting, Diarrhea",Prednisone,Take 5ml syrup before bedtime
Typhoid,"Fever, Loss of taste/smell",Zinc Sulfate,Take 5ml syrup before bedtime
Dengue,"Shortness of breath, Chest pain",Rifampin,Take 5ml syrup before bedtime
COVID-19,"Chills, Sweating, Muscle pain",Amoxicillin,Apply cream twice a day
Chickenpox,"Chills, Sweating, Muscle pain",Cetirizine,Use inhaler as needed
Asthma,"Cough, Mucus production",Ibuprofen,Take before sleep
Asthma,"Headache, Dizziness, Blurred vision",Ibuprofen,Apply cream twice a day
Arthritis,"Headache, Dizziness, Blurred vision",Losartan,Apply cream twice a day
Diabetes,"Frequent urination, Increased thirst",Amoxicillin,Take with water after meals
Migraine,"Nausea, Vomiting, Diarrhea",Paracetamol,Take 5ml syrup before bedtime
Bronchitis,"Abdominal pain, High fever, Loss of appetite",Omeprazole,Apply cream twice a day
Bronchitis,"Nausea, Vomiting, Diarrhea",Hydroxychloroquine,1 tablet every 12 hours
COVID-19,"Facial pain, Runny nose, Headache",Aspirin,1 capsule every morning with food
Migraine,"Frequent urination, Increased thirst",Methotrexate,1 tablet every 12 hours
Typhoid,"Wheezing, Shortness of breath",Loratadine,1 tablet every 12 hours
Arthritis,"Frequent urination, Increased thirst",Rifampin,1 capsule every morning with food
Hepatitis C,"Shortness of breath, Chest pain",Paracetamol,Take with water after meals
Arthritis,"Nausea, Vomiting, Diarrhea",Isoniazid,1 capsule every morning with food
Asthma,"Skin rash, High fever, Bleeding gums",Ventolin,Use inhaler as needed
Mumps,"Headache, Dizziness, Blurred vision",Hydroxychloroquine,Take 2 tablets daily after meals
Food Poisoning,"Wheezing, Shortness of breath",Doxycycline,Take before sleep
COVID-19,"Fever, Loss of taste/smell",Chloroquine,Take 2 tablets daily after meals
Measles,"Jaundice, Dark urine, Fatigue",Aspirin,Use inhaler as needed
Dengue,"Fever, Loss of taste/smell",Vitamin C,Take 1 tablet every 6 hours
Typhoid,"Nausea, Sensitivity to light",Amoxicillin,1 tablet every 12 hours
Bronchitis,"Cough, Mucus production",Chloroquine,Take 5ml syrup before bedtime
Chickenpox,"Jaundice, Dark urine, Fatigue",Artemether,1 capsule every morning with food
Dengue,"Chills, Sweating, Muscle pain",Losartan,1 tablet every 12 hours
Dengue,"Wheezing, Shortness of breath",Hydroxychloroquine,Take before sleep
Asthma,"Nausea, Vomiting, Diarrhea",Isoniazid,Take 2 tablets daily after meals
COVID-19,"Swollen salivary glands, Fever",Prednisone,Take before sleep
Bronchitis,"Fever, Loss of taste/smell",Chloroquine,Take 5ml syrup before bedtime
Bronchitis,"Skin rash, Fever",Paracetamol,Take before sleep
Dengue,"Swollen salivary glands, Fever",Isoniazid,Inject once daily
Hepatitis C,"Jaundice, Dark urine, Fatigue",Prednisone,Take 5ml syrup before bedtime
Diabetes,"Nausea, Sensitivity to light",Azithromycin,1 capsule every morning with food
Arthritis,"Cough, Mucus production",Aspirin,Use inhaler as needed
Typhoid,"Abdominal pain, High fever, Loss of appetite",Prednisone,Use inhaler as needed
Typhoid,"Joint pain, Swelling",Zinc Sulfate,Take 5ml syrup before bedtime
Diabetes,"Sneezing, Sore throat",Rifampin,Apply cream twice a day
Hepatitis B,"Nausea, Sensitivity to light",Omeprazole,Inject once daily
Sinusitis,"Shortness of breath, Chest pain",Amoxicillin,Apply cream twice a day
Measles,"Abdominal pain, High fever, Loss of appetite",Chloroquine,Apply cream twice a day
Malaria,"Headache, Dizziness, Blurred vision",Amoxicillin,Take 2 tablets daily after meals
Pneumonia,"Wheezing, Shortness of breath",Amoxicillin,Take 1 tablet every 6 hours
Bronchitis,"Skin rash, Fever",Metformin,Take 2 tablets daily after meals
Hepatitis B,"Wheezing, Shortness of breath",Zinc Sulfate,Inject once daily
Tuberculosis,"Frequent urination, Increased thirst",Methotrexate,Take 1 tablet every 6 hours
Asthma,"Fever, Loss of taste/smell",Artemether,Take 2 tablets daily after meals
Measles,"Frequent urination, Increased thirst",Isoniazid,Apply cream twice a day
Diabetes,"Wheezing, Shortness of breath",Rifampin,Use inhaler as needed
Common Cold,"Skin rash, High fever, Bleeding gums",Loratadine,Apply cream twice a day
Dengue,"Persistent cough, Weight loss, Night sweats",Azithromycin,Take 1 tablet every 6 hours
Tuberculosis,"Fever, Cough, Fatigue",Cetirizine,Use inhaler as needed
Common Cold,"Red spots on skin, Fever",Aspirin,Use inhaler as needed
Asthma,"Headache, Dizziness, Blurred vision",Metformin,Take 5ml syrup before bedtime
COVID-19,"Facial pain, Runny nose, Headache",Cetirizine,Use inhaler as needed
Hepatitis C,"Wheezing, Shortness of breath",Cetirizine,Apply cream twice a day
COVID-19,"Red spots on skin, Fever",Prednisone,Take 5ml syrup before bedtime
Tuberculosis,"Cough, Mucus production",Ventolin,Take with water after meals
Hepatitis C,"Nausea, Sensitivity to light",Metformin,Take 1 tablet every 6 hours
COVID-19,"Fever, Loss of taste/smell",Paracetamol,Take 2 tablets daily after meals
Dengue,"Sneezing, Sore throat",Cetirizine,Take with water after meals
Dengue,"Jaundice, Dark urine, Fatigue",Methotrexate,Take before sleep
Dengue,"Joint pain, Swelling",Ventolin,Apply cream twice a day
Typhoid,"Skin rash, High fever, Bleeding gums",Prednisone,Take with water after meals
Measles,"Facial pain, Runny nose, Headache",Ventolin,Use inhaler as needed
Pneumonia,"Skin rash, High fever, Bleeding gums",Losartan,Use inhaler as needed
Diabetes,"Fever, Loss of taste/smell",Chloroquine,1 tablet every 12 hours
Pneumonia,"Joint pain, Swelling",Rifampin,Use inhaler as needed
Dengue,"Jaundice, Dark urine, Fatigue",Loratadine,Inject once daily
Asthma,"Skin rash, Fever",Loratadine,1 tablet every 12 hours
Malaria,"Skin rash, Fever",Azithromycin,1 tablet every 12 hours
Malaria,"Cough, Mucus production",Loratadine,Take 1 tablet every 6 hours
Pneumonia,"Swollen salivary glands, Fever",Azithromycin,Take 5ml syrup before bedtime
Pneumonia,"Cough, Mucus production",Hydroxychloroquine,Take 2 tablets daily after meals
Dengue,"Joint pain, Swelling",Zinc Sulfate,1 tablet every 12 hours
Food Poisoning,"Skin rash, Fever",Methotrexate,Take with water after meals
Diabetes,"Red spots on skin, Fever",Amoxicillin,Apply cream twice a day
Dengue,"Headache, Dizziness, Blurred vision",Aspirin,Inject once daily
Arthritis,"Frequent urination, Increased thirst",Ibuprofen,Take 5ml syrup before bedtime
Hepatitis B,"Frequent urination, Increased thirst",Azithromycin,Inject once daily
Common Cold,"Chills, Sweating, Muscle pain",Losartan,1 capsule every morning with food
Common Cold,"Nausea, Sensitivity to light",Methotrexate,Take 1 tablet every 6 hours
Influenza,"Swollen salivary glands, Fever",Paracetamol,1 capsule every morning with food
Influenza,"Persistent cough, Weight loss, Night sweats",Metformin,Apply cream twice a day
Sinusitis,"Wheezing, Shortness of breath",Losartan,Take before sleep
Hypertension,"Persistent cough, Weight loss, Night sweats",Artemether,Take with water after meals
Mumps,"Sneezing, Sore throat",Hydroxychloroquine,Take before sleep
Bronchitis,"Swollen salivary glands, Fever",Omeprazole,Take before sleep
COVID-19,"Fever, Loss of taste/smell",Prednisone,1 capsule every morning with food
Asthma,"Wheezing, Shortness of breath",Omeprazole,1 tablet every 12 hours
Arthritis,"Jaundice, Dark urine, Fatigue",Chloroquine,Take 2 tablets daily after meals
Dengue,"Abdominal pain, High fever, Loss of appetite",Omeprazole,1 capsule every morning with food
Tuberculosis,"Shortness of breath, Chest pain",Ventolin,1 tablet every 12 hours
Asthma,"Nausea, Sensitivity to light",Azithromycin,Inject once daily
Hypertension,"Swollen salivary glands, Fever",Losartan,Take before sleep
Influenza,"Nausea, Sensitivity to light",Metformin,1 capsule every morning with food
Mumps,"Swollen salivary glands, Fever",Azithromycin,Take 5ml syrup before bedtime
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Artemether,1 tablet every 12 hours
Dengue,"Persistent cough, Weight loss, Night sweats",Cetirizine,1 capsule every morning with food
COVID-19,"Cough, Mucus production",Loratadine,Take 2 tablets daily after meals
Measles,"Headache, Dizziness, Blurred vision",Prednisone,Use inhaler as needed
Asthma,"Persistent cough, Weight loss, Night sweats",Prednisone,Apply cream twice a day
Asthma,"Shortness of breath, Chest pain",Methotrexate,Take with water after meals
Chickenpox,"Fever, Loss of taste/smell",Artemether,Apply cream twice a day
Migraine,"Fever, Cough, Fatigue",Cetirizine,Inject once daily
Hepatitis B,"Cough, Mucus production",Loratadine,Apply cream twice a day
Hepatitis B,"Wheezing, Shortness of breath",Amoxicillin,Use inhaler as needed
Hepatitis B,"Persistent cough, Weight loss, Night sweats",Paracetamol,Take 2 tablets daily after meals
Arthritis,"Headache, Dizziness, Blurred vision",Artemether,Take 1 tablet every 6 hours
Measles,"Frequent urination, Increased thirst",Losartan,Take 5ml syrup before bedtime
Food Poisoning,"Sneezing, Sore throat",Methotrexate,1 tablet every 12 hours
Hepatitis C,"Headache, Dizziness, Blurred vision",Metformin,Take 5ml syrup before bedtime
Diabetes,"Skin rash, Fever",Azithromycin,Use inhaler as needed
Arthritis,"Fever, Cough, Fatigue",Ventolin,Take 1 tablet every 6 hours
Typhoid,"Fever, Loss of taste/smell",Zinc Sulfate,Inject once daily
Tuberculosis,"Headache, Dizziness, Blurred vision",Aspirin,Take 2 tablets daily after meals
Common Cold,"Frequent urination, Increased thirst",Amoxicillin,Use inhaler as needed
Chickenpox,"Nausea, Vomiting, Diarrhea",Artemether,Take 2 tablets daily after meals
Common Cold,"Persistent cough, Weight loss, Night sweats",Hydroxychloroquine,Take 5ml syrup before bedtime
Sinusitis,"Nausea, Sensitivity to light",Prednisone,Take 2 tablets daily after meals
Malaria,"Chills, Sweating, Muscle pain",Artemether,Apply cream twice a day
Arthritis,"Cough, Mucus production",Azithromycin,Take 2 tablets daily after meals
Typhoid,"Persistent cough, Weight loss, Night sweats",Ibuprofen,1 capsule every morning with food
Food Poisoning,"Cough, Mucus production",Hydroxychloroquine,Take with water after meals
